issue_ts,series,event_ticker,event_date,ticker,strike_type,floor,cap,p_model,mu,sigma,n_errors,yes_bid,yes_ask
2026-07-24T23:42:45+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-T80,less,,80.0,0.4501,79.89,3.12,68,0.09,0.11
2026-07-24T23:42:45+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-B80.5,between,80.0,81.0,0.247,79.89,3.12,68,0.51,0.52
2026-07-24T23:42:45+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-B82.5,between,82.0,83.0,0.1794,79.89,3.12,68,0.36,0.38
2026-07-24T23:42:45+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-B84.5,between,84.0,85.0,0.0875,79.89,3.12,68,0.02,0.03
2026-07-24T23:42:45+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-B86.5,between,86.0,87.0,0.0287,79.89,3.12,68,0.01,0.02
2026-07-24T23:42:45+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-T87,greater,87.0,,0.0073,79.89,3.12,68,0.0,0.01
2026-07-24T23:42:45+00:00,KXHIGHCHI,KXHIGHCHI-26JUL25,2026-07-25,KXHIGHCHI-26JUL25-T80,less,,80.0,0.0899,83.54,3.02,68,0.07,0.08
2026-07-24T23:42:45+00:00,KXHIGHCHI,KXHIGHCHI-26JUL25,2026-07-25,KXHIGHCHI-26JUL25-B80.5,between,80.0,81.0,0.1589,83.54,3.02,68,0.16,0.18
2026-07-24T23:42:45+00:00,KXHIGHCHI,KXHIGHCHI-26JUL25,2026-07-25,KXHIGHCHI-26JUL25-B82.5,between,82.0,83.0,0.2452,83.54,3.02,68,0.42,0.43
2026-07-24T23:42:45+00:00,KXHIGHCHI,KXHIGHCHI-26JUL25,2026-07-25,KXHIGHCHI-26JUL25-B84.5,between,84.0,85.0,0.2476,83.54,3.02,68,0.25,0.29
2026-07-24T23:42:45+00:00,KXHIGHCHI,KXHIGHCHI-26JUL25,2026-07-25,KXHIGHCHI-26JUL25-B86.5,between,86.0,87.0,0.1636,83.54,3.02,68,0.05,0.07
2026-07-24T23:42:45+00:00,KXHIGHCHI,KXHIGHCHI-26JUL25,2026-07-25,KXHIGHCHI-26JUL25-T87,greater,87.0,,0.0948,83.54,3.02,68,0.02,0.03
2026-07-24T23:42:45+00:00,KXHIGHMIA,KXHIGHMIA-26JUL25,2026-07-25,KXHIGHMIA-26JUL25-T88,less,,88.0,0.0459,90.88,2.01,68,0.0,0.01
2026-07-24T23:42:45+00:00,KXHIGHMIA,KXHIGHMIA-26JUL25,2026-07-25,KXHIGHMIA-26JUL25-B88.5,between,88.0,89.0,0.1995,90.88,2.01,68,0.04,0.06
2026-07-24T23:42:45+00:00,KXHIGHMIA,KXHIGHMIA-26JUL25,2026-07-25,KXHIGHMIA-26JUL25-B90.5,between,90.0,91.0,0.3757,90.88,2.01,68,0.16,0.17
2026-07-24T23:42:45+00:00,KXHIGHMIA,KXHIGHMIA-26JUL25,2026-07-25,KXHIGHMIA-26JUL25-B92.5,between,92.0,93.0,0.2831,90.88,2.01,68,0.6,0.61
2026-07-24T23:42:45+00:00,KXHIGHMIA,KXHIGHMIA-26JUL25,2026-07-25,KXHIGHMIA-26JUL25-B94.5,between,94.0,95.0,0.0852,90.88,2.01,68,0.23,0.24
2026-07-24T23:42:45+00:00,KXHIGHMIA,KXHIGHMIA-26JUL25,2026-07-25,KXHIGHMIA-26JUL25-T95,greater,95.0,,0.0106,90.88,2.01,68,0.01,0.02
2026-07-24T23:42:45+00:00,KXHIGHAUS,KXHIGHAUS-26JUL25,2026-07-25,KXHIGHAUS-26JUL25-T95,less,,95.0,0.2012,96.58,2.48,68,0.04,0.05
2026-07-24T23:42:45+00:00,KXHIGHAUS,KXHIGHAUS-26JUL25,2026-07-25,KXHIGHAUS-26JUL25-B95.5,between,95.0,96.0,0.2859,96.58,2.48,68,0.49,0.5
2026-07-24T23:42:45+00:00,KXHIGHAUS,KXHIGHAUS-26JUL25,2026-07-25,KXHIGHAUS-26JUL25-B97.5,between,97.0,98.0,0.293,96.58,2.48,68,0.37,0.38
2026-07-24T23:42:45+00:00,KXHIGHAUS,KXHIGHAUS-26JUL25,2026-07-25,KXHIGHAUS-26JUL25-B99.5,between,99.0,100.0,0.1626,96.58,2.48,68,0.11,0.12
2026-07-24T23:42:45+00:00,KXHIGHAUS,KXHIGHAUS-26JUL25,2026-07-25,KXHIGHAUS-26JUL25-B101.5,between,101.0,102.0,0.0488,96.58,2.48,68,0.01,0.03
2026-07-24T23:42:45+00:00,KXHIGHAUS,KXHIGHAUS-26JUL25,2026-07-25,KXHIGHAUS-26JUL25-T102,greater,102.0,,0.0086,96.58,2.48,68,0.01,0.03
2026-07-24T23:42:45+00:00,KXHIGHDEN,KXHIGHDEN-26JUL25,2026-07-25,KXHIGHDEN-26JUL25-T94,less,,94.0,0.0144,99.68,2.83,68,0.01,0.02
2026-07-24T23:42:45+00:00,KXHIGHDEN,KXHIGHDEN-26JUL25,2026-07-25,KXHIGHDEN-26JUL25-B94.5,between,94.0,95.0,0.0552,99.68,2.83,68,0.01,0.05
2026-07-24T23:42:45+00:00,KXHIGHDEN,KXHIGHDEN-26JUL25,2026-07-25,KXHIGHDEN-26JUL25-B96.5,between,96.0,97.0,0.1506,99.68,2.83,68,0.06,0.1
2026-07-24T23:42:45+00:00,KXHIGHDEN,KXHIGHDEN-26JUL25,2026-07-25,KXHIGHDEN-26JUL25-B98.5,between,98.0,99.0,0.2541,99.68,2.83,68,0.47,0.49
2026-07-24T23:42:45+00:00,KXHIGHDEN,KXHIGHDEN-26JUL25,2026-07-25,KXHIGHDEN-26JUL25-B100.5,between,100.0,101.0,0.2655,99.68,2.83,68,0.38,0.39
2026-07-24T23:42:45+00:00,KXHIGHDEN,KXHIGHDEN-26JUL25,2026-07-25,KXHIGHDEN-26JUL25-T101,greater,101.0,,0.2602,99.68,2.83,68,0.08,0.09
2026-07-24T23:42:45+00:00,KXHIGHLAX,KXHIGHLAX-26JUL25,2026-07-25,KXHIGHLAX-26JUL25-T79,less,,79.0,0.1782,80.82,2.51,68,0.25,0.29
2026-07-24T23:42:45+00:00,KXHIGHLAX,KXHIGHLAX-26JUL25,2026-07-25,KXHIGHLAX-26JUL25-B79.5,between,79.0,80.0,0.2713,80.82,2.51,68,0.44,0.46
2026-07-24T23:42:45+00:00,KXHIGHLAX,KXHIGHLAX-26JUL25,2026-07-25,KXHIGHLAX-26JUL25-B81.5,between,81.0,82.0,0.2986,80.82,2.51,68,0.23,0.24
2026-07-24T23:42:45+00:00,KXHIGHLAX,KXHIGHLAX-26JUL25,2026-07-25,KXHIGHLAX-26JUL25-B83.5,between,83.0,84.0,0.1803,80.82,2.51,68,0.05,0.06
2026-07-24T23:42:45+00:00,KXHIGHLAX,KXHIGHLAX-26JUL25,2026-07-25,KXHIGHLAX-26JUL25-B85.5,between,85.0,86.0,0.0597,80.82,2.51,68,0.02,0.03
2026-07-24T23:42:45+00:00,KXHIGHLAX,KXHIGHLAX-26JUL25,2026-07-25,KXHIGHLAX-26JUL25-T86,greater,86.0,,0.0119,80.82,2.51,68,0.01,0.02
2026-07-24T23:44:27+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-T80,less,,80.0,0.4501,79.89,3.12,68,0.09,0.11
2026-07-24T23:44:27+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-B80.5,between,80.0,81.0,0.247,79.89,3.12,68,0.51,0.52
2026-07-24T23:44:27+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-B82.5,between,82.0,83.0,0.1794,79.89,3.12,68,0.36,0.38
2026-07-24T23:44:27+00:00,KXHIGHNY,KXHIGHNY-26JUL25,2026-07-25,KXHIGHNY-26JUL25-B84.5,between,84.0,85.0,0.0875,79.89,3.12,68,0.02,0.03
