event_ticker,ticker,date,series,strike_type,floor,cap,p_model,mid,spread,result
KXHIGHAUS-26MAY17,KXHIGHAUS-26MAY17-T89,2026-05-17,KXHIGHAUS,less,,89.0,0.4734235356996345,0.18,0.04000000000000001,no
KXHIGHAUS-26MAY17,KXHIGHAUS-26MAY17-B89.5,2026-05-17,KXHIGHAUS,between,89.0,90.0,0.2523233465502916,0.425,0.030000000000000027,yes
KXHIGHAUS-26MAY17,KXHIGHAUS-26MAY17-B91.5,2026-05-17,KXHIGHAUS,between,91.0,92.0,0.17161586591793787,0.315,0.050000000000000044,no
KXHIGHAUS-26MAY17,KXHIGHAUS-26MAY17-B93.5,2026-05-17,KXHIGHAUS,between,93.0,94.0,0.0760396778111263,0.055,0.009999999999999995,no
KXHIGHAUS-26MAY17,KXHIGHAUS-26MAY17-B95.5,2026-05-17,KXHIGHAUS,between,95.0,96.0,0.021936385997290975,0.01,0.02,no
KXHIGHAUS-26MAY17,KXHIGHAUS-26MAY17-T96,2026-05-17,KXHIGHAUS,greater,96.0,,0.004661188023718732,0.01,0.02,no
KXHIGHCHI-26MAY17,KXHIGHCHI-26MAY17-T84,2026-05-17,KXHIGHCHI,less,,84.0,0.10263725183213601,0.185,0.010000000000000009,no
KXHIGHCHI-26MAY17,KXHIGHCHI-26MAY17-B84.5,2026-05-17,KXHIGHCHI,between,84.0,85.0,0.17161586591793787,0.365,0.030000000000000027,no
KXHIGHCHI-26MAY17,KXHIGHCHI-26MAY17-B86.5,2026-05-17,KXHIGHCHI,between,86.0,87.0,0.25232334655029165,0.365,0.010000000000000009,yes
KXHIGHCHI-26MAY17,KXHIGHCHI-26MAY17-B88.5,2026-05-17,KXHIGHCHI,between,88.0,89.0,0.24174596106483648,0.085,0.03,no
KXHIGHCHI-26MAY17,KXHIGHCHI-26MAY17-B90.5,2026-05-17,KXHIGHCHI,between,90.0,91.0,0.15092091540102703,0.015,0.01,no
KXHIGHCHI-26MAY17,KXHIGHCHI-26MAY17-T91,2026-05-17,KXHIGHCHI,greater,91.0,,0.08075665923377096,0.005,0.01,no
KXHIGHDEN-26MAY17,KXHIGHDEN-26MAY17-T67,2026-05-17,KXHIGHDEN,less,,67.0,0.15865525393145707,0.585,0.08999999999999997,no
KXHIGHDEN-26MAY17,KXHIGHDEN-26MAY17-B67.5,2026-05-17,KXHIGHDEN,between,67.0,68.0,0.2107860862503066,0.305,0.010000000000000009,yes
KXHIGHDEN-26MAY17,KXHIGHDEN-26MAY17-B69.5,2026-05-17,KXHIGHDEN,between,69.0,70.0,0.26111731963647267,0.035,0.010000000000000002,no
KXHIGHDEN-26MAY17,KXHIGHDEN-26MAY17-B71.5,2026-05-17,KXHIGHDEN,between,71.0,72.0,0.2107860862503066,0.015,0.03,no
KXHIGHDEN-26MAY17,KXHIGHDEN-26MAY17-B73.5,2026-05-17,KXHIGHDEN,between,73.0,74.0,0.11086490165864238,0.01,0.02,no
KXHIGHDEN-26MAY17,KXHIGHDEN-26MAY17-T74,2026-05-17,KXHIGHDEN,greater,74.0,,0.047790352272814696,0.01,0.02,no
