event_ticker,series,city,date,n_bins,official_high,forecast_high,mu,sigma,spread,n_errors,brier_model,logloss_model,included,max_spread,brier_market,logloss_market
KXHIGHAUS-26MAY17,KXHIGHAUS,Austin (Camp Mabry),2026-05-17,6,89.0,88.7,88.7,3.0,,0,0.8188871920088965,1.377043892735945,True,0.050000000000000044,0.4643822125703897,0.8506535682341759
KXHIGHCHI-26MAY17,KXHIGHCHI,Chicago (Midway),2026-05-17,6,87.0,87.3,87.3,3.0,,0,0.6867466594194169,1.3770438927359447,True,0.030000000000000027,0.5804978854286813,1.0276605526958251
KXHIGHDEN-26MAY17,KXHIGHDEN,Denver (Intl Airport),2026-05-17,6,68.0,69.5,69.5,3.0,,0,0.7752180642171613,1.55691146899851,True,0.08999999999999997,0.8386501736111112,1.1466215078544704
KXHIGHLAX-26MAY17,KXHIGHLAX,Los Angeles (LAX),2026-05-17,6,71.0,71.2,71.2,3.0,,0,0.7004693897025911,1.3690145158125546,True,0.020000000000000018,0.4779172243125173,0.8159680102462858
KXHIGHMIA-26MAY17,KXHIGHMIA,Miami (Intl Airport),2026-05-17,6,87.0,86.8,86.8,3.0,,0,0.6829438663814577,1.3690145158125548,True,0.04999999999999999,0.5248444036322825,0.8574502318512217
KXHIGHNY-26MAY17,KXHIGHNY,New York (Central Park),2026-05-17,6,87.0,89.9,89.9,3.0,,0,0.9066521405483047,1.6511350733484007,True,0.07999999999999996,0.49759637188208616,0.892760234463961
KXHIGHAUS-26MAY18,KXHIGHAUS,Austin (Camp Mabry),2026-05-18,6,92.0,90.8,90.82727272727273,2.861569502043642,,1,0.7841365960035142,1.461365826922703,True,0.07,0.6640946502057613,1.0848189665357735
KXHIGHCHI-26MAY18,KXHIGHCHI,Chicago (Midway),2026-05-18,6,80.0,80.1,80.07272727272726,2.861569502043642,,1,0.14098609438915657,0.3695716984244485,True,0.050000000000000044,0.22576135522600815,0.4564828824498889
KXHIGHDEN-26MAY18,KXHIGHDEN,Denver (Intl Airport),2026-05-18,6,44.0,50.5,50.36363636363637,2.8897861533374813,,1,0.508969888516254,0.9609635925330174,True,0.10000000000000009,0.044499822000712015,0.18610227963386075
KXHIGHLAX-26MAY18,KXHIGHLAX,Los Angeles (LAX),2026-05-18,6,71.0,70.3,70.28181818181818,2.860913043247171,,1,0.7278080891779957,1.3841538728540956,True,0.03,0.48421151852200955,0.8392397990574413
KXHIGHMIA-26MAY18,KXHIGHMIA,Miami (Intl Airport),2026-05-18,6,87.0,85.3,85.31818181818181,2.860913043247171,,1,0.7239753397460922,1.3790358095178283,True,0.039999999999999994,0.5935889597344746,0.9839493803479696
KXHIGHNY-26MAY18,KXHIGHNY,New York (Central Park),2026-05-18,6,88.0,86.7,86.43636363636364,2.9687832405509855,,1,0.09846034126574343,0.2972243834816951,True,0.020000000000000018,0.01315246669416877,0.09827022143280183
KXHIGHAUS-26MAY19,KXHIGHAUS,Austin (Camp Mabry),2026-05-19,6,92.0,90.6,90.725,2.756601923866895,,2,0.7418373686547118,1.4599211692847116,True,0.04000000000000001,1.0434065416156095,2.1498223384416355
