variant,snapshot,lead_days,events,brier_model,brier_market,d_brier,ci_low,ci_high,p_bootstrap,dm_stat,p_dm,logloss_model,logloss_market
baseline (single NWP),D-1 16:00Z (open+2h),2,410,0.7666,0.6499,0.1167,0.0869,0.1457,0.0,8.48,0.0,1.6174,1.2486
baseline (single NWP),D-1 21:00Z,2,414,0.7659,0.6389,0.127,0.0954,0.1581,0.0,8.91,0.0,1.618,1.1991
baseline (single NWP),D 01:00Z,1,414,0.7702,0.6285,0.1418,0.1087,0.1757,0.0,7.65,0.0,1.6066,1.1657
baseline (single NWP),D 05:00Z,1,414,0.7702,0.6042,0.166,0.1297,0.202,0.0,8.07,0.0,1.6066,1.1248
baseline (single NWP),D 09:00Z,1,413,0.7674,0.5845,0.1829,0.1462,0.2193,0.0,8.08,0.0,1.5966,1.0699
+ skill-weighted members,D-1 16:00Z (open+2h),2,410,0.716,0.6499,0.0661,0.0459,0.086,0.0,5.5,0.0,1.4135,1.2486
+ skill-weighted members,D-1 21:00Z,2,414,0.717,0.6389,0.0781,0.0544,0.1015,0.0,6.13,0.0,1.416,1.1991
+ skill-weighted members,D 01:00Z,1,414,0.6823,0.6285,0.0539,0.0318,0.0754,0.0,4.32,0.0001,1.3192,1.1657
+ skill-weighted members,D 05:00Z,1,414,0.6823,0.6042,0.0781,0.0544,0.1012,0.0,5.09,0.0,1.3192,1.1248
+ skill-weighted members,D 09:00Z,1,413,0.6787,0.5845,0.0942,0.0712,0.1184,0.0,6.23,0.0,1.3086,1.0699
