series,city,kind,events,vol_per_market,tight_rate,mean_spread,brier_model,brier_market,d_brier,ci_low,ci_high,p_bootstrap,forecast_mae
KXHIGHLAX,LAX,high,69,86013.49024,1.0,0.02348,0.69281,0.58578,0.10703,0.02727,0.18482,0.0064,1.50101
KXHIGHNY,NY,high,69,36856.81507,1.0,0.02783,0.61181,0.58433,0.02748,-0.03079,0.08532,0.3618,1.67964
KXHIGHMIA,MIA,high,69,31620.83244,1.0,0.02855,0.65076,0.56942,0.08134,0.02212,0.14005,0.007,2.13256
KXHIGHCHI,CHI,high,69,24683.38988,1.0,0.02957,0.6812,0.67226,0.00894,-0.05019,0.06923,0.7598,1.3679
KXHIGHTSFO,SFO,high,68,14353.75326,1.0,0.03809,0.75676,0.72593,0.03083,-0.02732,0.08561,0.2922,2.03427
KXHIGHTPHX,PHX,high,68,12627.36757,1.0,0.03294,0.63812,0.55699,0.08113,0.01222,0.1465,0.0182,1.94616
KXHIGHTSEA,SEA,high,67,12201.00615,0.98529,0.03836,0.79214,0.71489,0.07726,0.02538,0.12707,0.0066,2.29843
KXHIGHTATL,ATL,high,68,11697.39228,1.0,0.03971,0.73756,0.70473,0.03283,-0.01648,0.07911,0.1884,2.38264
KXHIGHAUS,AUS,high,69,10863.34389,1.0,0.03246,0.68748,0.62449,0.06299,0.00961,0.11583,0.0196,1.53191
KXHIGHTDAL,DAL,high,68,10586.34863,1.0,0.04294,0.77389,0.68869,0.0852,0.03394,0.1345,0.002,2.07629
KXHIGHDEN,DEN,high,69,9652.21761,1.0,0.02913,0.66434,0.61384,0.0505,-0.00643,0.10524,0.082,1.67959
KXHIGHTBOS,BOS,high,67,9335.2038,0.98529,0.0409,0.69024,0.61551,0.07472,0.02589,0.1227,0.0038,1.66282
KXHIGHTLV,LV,high,68,7697.63199,1.0,0.03559,0.57737,0.45628,0.12109,0.05977,0.17797,0.0,0.93299
KXHIGHPHIL,PHIL,high,68,7470.04331,1.0,0.03941,0.69942,0.64622,0.0532,-0.00227,0.10807,0.0608,1.75245
KXHIGHTHOU,HOU,high,67,6965.20623,0.98529,0.03746,0.70627,0.58001,0.12626,0.06196,0.18677,0.0002,1.63368
KXLOWTNYC,NY,low,55,6804.8587,0.80882,0.06545,0.73091,0.62069,0.11022,0.05327,0.16482,0.0,1.76028
KXHIGHTDC,DC,high,68,6107.31701,1.0,0.04029,0.6909,0.66089,0.03002,-0.01891,0.07677,0.2188,1.63057
KXHIGHTMIN,MIN,high,68,6011.7364,1.0,0.04088,0.71469,0.67488,0.03981,-0.01918,0.09923,0.1786,1.91177
KXHIGHTOKC,OKC,high,67,5913.91245,0.98529,0.04284,0.72616,0.64066,0.0855,0.03585,0.1341,0.0016,2.168
KXLOWTCHI,CHI,low,56,4402.09414,0.82353,0.06518,0.71501,0.64785,0.06717,-0.00568,0.1361,0.0686,1.48743
KXLOWTMIA,MIA,low,57,4388.54037,0.85075,0.06018,0.7583,0.71298,0.04532,-0.02621,0.11809,0.218,1.80455
KXHIGHTSATX,SATX,high,67,4376.08027,0.98529,0.04328,0.72372,0.66957,0.05415,-0.00546,0.11161,0.0752,1.59454
KXLOWTDEN,DEN,low,49,4081.7899,0.72059,0.06694,0.80191,0.69047,0.11145,0.04602,0.17441,0.0002,3.76531
KXHIGHTNOLA,NOLA,high,67,3830.43071,0.98529,0.04343,0.69512,0.63114,0.06399,0.01597,0.11026,0.009,1.91873
