comparison,metric,events,mean_diff,ci_low,ci_high,p_bootstrap,dm_stat,p_dm
baseline (single NWP) vs market,brier,413,0.18286,0.14579,0.21887,0.0,8.08,0.0
ensemble (multi-model mean) vs market,brier,413,0.10132,0.07777,0.12576,0.0,6.606,0.0
ensemble + spread-conditional sigma vs market,brier,413,0.0898,0.06482,0.11362,0.0,5.526,0.0
+ skill-weighted members vs market,brier,413,0.07941,0.05594,0.10354,0.0,4.823,0.0
+ empirical residual shape vs market,brier,413,0.08031,0.05652,0.10401,0.0,4.851,0.0
+ pooled member skill vs market,brier,413,0.08341,0.0595,0.10755,0.0,5.06,0.0
+ linear calibration vs market,brier,413,0.08049,0.0544,0.10585,0.0,3.991,0.0002
+ time-lagged members vs market,brier,413,0.08874,0.06612,0.11181,0.0,5.524,0.0
ensemble (multi-model mean) vs baseline (single NWP),brier,413,-0.08154,-0.11058,-0.05272,0.0,-5.148,0.0
ensemble + spread-conditional sigma vs ensemble (multi-model mean),brier,413,-0.01152,-0.01601,-0.00702,0.0,-4.393,0.0
+ skill-weighted members vs ensemble + spread-conditional sigma,brier,413,-0.0104,-0.01807,-0.00278,0.0084,-2.347,0.0218
+ empirical residual shape vs + skill-weighted members,brier,413,0.0009,-0.00412,0.00646,0.766,0.366,0.7153
+ pooled member skill vs + skill-weighted members,brier,413,0.004,-0.001,0.00907,0.12,1.311,0.1941
+ linear calibration vs + skill-weighted members,brier,413,0.00108,-0.00881,0.01114,0.8202,0.14,0.8889
+ time-lagged members vs + skill-weighted members,brier,413,0.00934,0.00032,0.01831,0.0436,2.617,0.0109
baseline (single NWP) vs market,logloss,413,0.52671,0.42745,0.62956,0.0,8.789,0.0
ensemble (multi-model mean) vs market,logloss,413,0.25483,0.20744,0.30265,0.0,8.945,0.0
ensemble + spread-conditional sigma vs market,logloss,413,0.21529,0.16451,0.26425,0.0,6.644,0.0
+ skill-weighted members vs market,logloss,413,0.18162,0.13138,0.23143,0.0,5.164,0.0
+ empirical residual shape vs market,logloss,413,0.18296,0.13397,0.23248,0.0,5.226,0.0
+ pooled member skill vs market,logloss,413,0.19846,0.14756,0.24689,0.0,5.883,0.0
+ linear calibration vs market,logloss,413,0.18047,0.12347,0.23887,0.0,4.004,0.0002
+ time-lagged members vs market,logloss,413,0.2128,0.16461,0.26037,0.0,6.59,0.0
ensemble (multi-model mean) vs baseline (single NWP),logloss,413,-0.27189,-0.36193,-0.18609,0.0,-5.342,0.0
ensemble + spread-conditional sigma vs ensemble (multi-model mean),logloss,413,-0.03954,-0.05068,-0.02864,0.0,-4.882,0.0
+ skill-weighted members vs ensemble + spread-conditional sigma,logloss,413,-0.03366,-0.05035,-0.0176,0.0004,-3.367,0.0013
+ empirical residual shape vs + skill-weighted members,logloss,413,0.00134,-0.01081,0.01393,0.838,0.236,0.8144
+ pooled member skill vs + skill-weighted members,logloss,413,0.01683,0.00616,0.02827,0.0026,2.676,0.0093
+ linear calibration vs + skill-weighted members,logloss,413,-0.00115,-0.02569,0.02362,0.94,-0.086,0.932
+ time-lagged members vs + skill-weighted members,logloss,413,0.03117,0.01089,0.05189,0.0028,3.066,0.0031
